Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
A,"Agilent Technologies, Inc.",97.27,$30.03B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AA,Alcoa Corporation,13.24,$2.46B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
AAN,"Aaron&#39;s,  Inc.",45.97,$3.11B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
AAP,Advance Auto Parts Inc,146.83,$10.15B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
AAT,"American Assets Trust, Inc.",25.72,$1.54B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AB,AllianceBernstein Holding L.P.,28.61,$2.76B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
ABB,ABB Ltd,26.05,$55.61B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,97.16,$171.23B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),104,$21.15B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
ABEV,Ambev S.A.,2.99,$47.04B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,108.77,$2.1B,2002,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg
ABM,ABM Industries Incorporated,35.46,$2.36B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
ABR,Arbor Realty Trust,8.87,$977.93M,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABT,Abbott Laboratories,99.99,$176.87B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
AC,"Associated Capital Group, Inc.",41.44,$927.74M,2015,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac
ACA,"Arcosa, Inc.",42.13,$2.03B,2018,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
ACB,Aurora Cannabis Inc.,10.67,$1.2B,2018,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/acb
ACC,American Campus Communities Inc,35.17,$4.84B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
ACCO,Acco Brands Corporation,6.86,$648.01M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ACEL,"Accel Entertainment, Inc.",8.54,$669.35M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACH,Aluminum Corporation of China Limited,6.43,$4.38B,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ACI,"Albertsons Companies, Inc.",15.24,$7.3B,2020,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci
ACM,AECOM,36.72,$5.88B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
ACN,Accenture plc,223.32,$142.21B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACND.U,Ascendant Digital Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/acnd.u
ACP,Aberdeen Income Credit Strategies Fund,9.87,$172.05M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
ACRE,Ares Commercial Real Estate Corporation,8.83,$295.29M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
ACV,AllianzGI Diversified Income & Convertible Fund,25.1,$259.88M,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv
ADC,Agree Realty Corporation,63.83,$3.44B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
ADCT,ADC Therapeutics SA,48.69,$3.44B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct
ADM,Archer-Daniels-Midland Company,42.13,$23.4B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
ADNT,Adient plc,18.5,$1.74B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADS,Alliance Data Systems Corporation,43.86,$2.09B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
ADSW,"Advanced Disposal Services, Inc.",30.2,$2.72B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
ADT,ADT Inc.,8,$6.16B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ADX,"Adams Diversified Equity Fund, Inc.",15.58,$1.69B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
AEB,Aegon NV,23.42,n/a,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEE,Ameren Corporation,79.01,$19.51B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AEFC,Aegon Funding Company LLC,24.82,n/a,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEG,Aegon NV,3.06,$6.28B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AEL,American Equity Investment Life Holding Company,25.7,$2.35B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEM,Agnico Eagle Mines Limited,74.12,$17.81B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
AEO,"American Eagle Outfitters, Inc.",9.58,$1.59B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",83.26,$41.26B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
AER,Aercap Holdings N.V.,27.29,$3.54B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AES,The AES Corporation,15.25,$10.14B,n/a,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/aes
AFB,Alliance National Municipal Income Fund Inc,13.71,$394.09M,2002,n/a,n/a,https://old.nasdaq.com/symbol/afb
AFC,Ares Capital Corporation,25.58,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/afc
AFG,"American Financial Group, Inc.",59.99,$5.39B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",27.57,n/a,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",26.243,$26.19M,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
AFGD,"American Financial Group, Inc.",26.44,n/a,2020,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgd
AFGH,"American Financial Group, Inc.",25.7304,n/a,2015,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AFI,"Armstrong Flooring, Inc.",3,$64.78M,2016,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi
AFL,Aflac Incorporated,36.43,$26.14B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
AFT,Apollo Senior Floating Rate Fund Inc.,12.37,$192.64M,2011,n/a,n/a,https://old.nasdaq.com/symbol/aft
AG,First Majestic Silver Corp.,14.25,$3B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ag
AGCO,AGCO Corporation,63.4,$4.75B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
AGD,Aberdeen Global Dynamic Dividend Fund,9.11,$114.33M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AGI,Alamos Gold Inc.,11.43,$4.47B,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
AGM,Federal Agricultural Mortgage Corporation,60.08,$644.59M,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/agm
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm.a
AGO,Assured Guaranty Ltd.,22.41,$1.95B,2004,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ago
AGR,"Avangrid, Inc.",48.43,$14.97B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/agr
AGRO,Adecoagro S.A.,4.51,$526.74M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
AGS,"PlayAGS, Inc.",3.32,$118.2M,2018,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/ags
AGX,"Argan, Inc.",44.52,$696.74M,n/a,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/agx
AHC,A.H. Belo Corporation,1.63,$34.9M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AHH,"Armada Hoffler Properties, Inc.",9.35,$727.1M,2013,Finance,Real Estate,https://old.nasdaq.com/symbol/ahh
AHT,Ashford Hospitality Trust Inc,4.12,$43.16M,2003,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aht
AI,Arlington Asset Investment Corp,2.95,$108.61M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ai
AIC,Arlington Asset Investment Corp,23.005,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aic
AIF,Apollo Tactical Income Fund Inc.,12.3,$177.91M,2013,n/a,n/a,https://old.nasdaq.com/symbol/aif
AIG,"American International Group, Inc.",30.85,$26.57B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aig.ws
AIN,Albany International Corporation,52.05,$1.68B,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,20.22,$694.01M,2019,n/a,n/a,https://old.nasdaq.com/symbol/aio
AIR,AAR Corp.,17.72,$622.95M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AIT,"Applied Industrial Technologies, Inc.",64.14,$2.48B,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/ait
AIV,Apartment Investment and Management Company,35.76,$5.32B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiv
AIW,Arlington Asset Investment Corp,23.5,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiw
AIZ,"Assurant, Inc.",105.67,$6.3B,2004,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aiz
AIZP,"Assurant, Inc.",106.85,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aizp
AJG,Arthur J. Gallagher & Co.,103.53,$19.63B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/ajg
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",36.81,$2.89B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd
AJX,Great Ajax Corp.,8.58,$196.74M,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ajx
AJXA,Great Ajax Corp.,23.835,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ajxa
AKO.A,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ako.a
AKO.B,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ako.b
AKR,Acadia Realty Trust,11.78,$1.01B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
AL,Air Lease Corporation,26.02,$2.96B,2011,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al
ALB,Albemarle Corporation,85.78,$9.12B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb
ALC,Alcon Inc.,61.5,$30.03B,2019,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc
ALE,"Allete, Inc.",57.53,$2.98B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale
ALEX,"Alexander & Baldwin, Inc.",11.92,$861.89M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex
