Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",09/08/76,66740,1902
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/64,1800,1888
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/12,1551152,2013 (1888)
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/18,815094,1981 (or pre-1982)
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/11,1467373,1989
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/15,718877,2008
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",05/05/97,796343,1982
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",20/03/17,2488,1969
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",09/07/15,1158449,1932
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/98,874761,1981
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/99,4977,1955
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",05/06/00,1090872,1999
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/85,2969,1940
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/07,1086222,1998
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",13/05/16,766421,1985
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/16,915913,1994
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",20/03/17,1035443,1994
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Boston, Massachusetts",25/05/12,899866,1992
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",19/06/17,1097149,1997
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",02/12/13,1579241,1908
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/16,352541,1917
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/95,899051,1931
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/14,1652044,1998
